number,id,title,state,user,pr_files
327,51398771,`.rda` extension is case sensitive,open,almartin82,data.rmd
326,48678175,modified git command for deleting branch,closed,setoyama60jp,git.rmd
324,47463575,Update tests.rmd,open,perryjer1,tests.rmd
323,47457827,Update man.rmd,open,perryjer1,man.rmd
322,47344525,"slightly modified in the ""Binary builds"" section.",open,setoyama60jp,release.rmd
320,43412833,"removed extraneous word ""are""",open,rmsharp,tests.rmd
319,43271518,Fixing typos,open,jpinelo,tests.rmd
318,42719902,Homogenize LaTeX spelling,closed,LluisRamon,git.rmd
318,42719902,Homogenize LaTeX spelling,closed,LluisRamon,vignettes.rmd
316,42037653,Fix small typos in src.Rmd,open,jdblischak,src.rmd
315,41959127,fix typo,closed,paternogbc,man.rmd
313,39768768,fix typo,open,road2stat,namespace.rmd
312,39631796,Update namespace.rmd,open,shntnu,namespace.rmd
311,39394949,update namespace.md,open,jeremycg,namespace.rmd
310,39235974,Update tests.rmd,closed,iargent,tests.rmd
309,39235137,Update tests.rmd,closed,iargent,tests.rmd
308,38792868,Typo in src.rmd,closed,arnima-github,src.rmd
307,38781197,"Capitalize ""Ubuntu""",closed,wibeasley,check.rmd
306,38780364,non-ASCII & encoding in Rdata files,closed,wibeasley,check.rmd
305,38778716,accidentally being added,closed,wibeasley,git.rmd
304,38778121,"packageVersion(""foo"") > ""1.0.0""",closed,wibeasley,release.rmd
303,38182760,fix typo,open,stefanherzog,check.rmd
302,37148689,small typo,open,havenl,r.rmd
301,36590772,emphasize all local branches,open,rrunner,git.rmd
300,36584514,Add `.`,closed,yui-knk,contribute.rmd
299,36569856,Update vignettes.rmd,open,janzzon,vignettes.rmd
298,36126209,add \preformatted roxygen tag to reference,closed,daattali,man.rmd
297,35440305,Fix typo: @imports / @import,closed,agrueneberg,namespace.rmd
296,35389089,added OS X to case-insensitive operating systems,closed,syclik,r.rmd
296,35389089,added OS X to case-insensitive operating systems,closed,syclik,style.rmd
295,35005245,Update r.rmd,closed,adessy,r.rmd
294,35004162,Update package.rmd,closed,adessy,package.rmd
293,35002823,Update intro.rmd,closed,adessy,intro.rmd
292,35001633,Update index.rmd,closed,adessy,index.rmd
290,34873639,Update to the latest state,closed,uribo,index.rmd
289,34551025,Correct two typographical errors on Git usage,closed,scw,git.rmd
286,33607305,Update namespace.rmd,open,ijlyttle,namespace.rmd
284,32940360,Clarify inst folder moving upon install,closed,sheffien,data.rmd
283,32864732,"When using system.file, use mustWork = TRUE to have an error message",open,jomuller,data.rmd
281,32228420,"""diamonds"" -> NULL",open,rnuske,data.rmd
280,31393547,Travis now supports R as a top-level language,open,vnijs,check.rmd
279,31313201,fixing a typo,open,matinang,git.rmd
278,31019195,Fixed typo,closed,danhalligan,man.rmd
277,30254553,Typos in check file,closed,PeterDee,check.rmd
275,30051928,Patch1,closed,PeterDee,git.rmd
275,30051928,Patch1,closed,PeterDee,man.rmd
274,30043463,Fixed a couple links,closed,PeterDee,git.rmd
274,30043463,Fixed a couple links,closed,PeterDee,man.rmd
272,29948765,Small edits,closed,michaelweylandt,check.rmd
271,29866339,Patch 1,open,taekyunk,git.rmd
270,29781580,backslash changed to fowardslash,closed,robiRagan,src.rmd
269,29531325,#267,closed,Ironholds,man.rmd
268,29383931,Update package.rmd to remove duplication.,closed,iangow,package.rmd
266,29366504,Remove one explanation of library vs require,closed,hedderik,package.rmd
265,29363142,Update release.rmd,closed,PhilipPallmann,release.rmd
264,29362821,Update git.rmd,closed,PhilipPallmann,git.rmd
263,29362724,Update git.rmd,closed,PhilipPallmann,git.rmd
262,29362508,Update misc.rmd,closed,PhilipPallmann,misc.rmd
261,29362391,Update inst.rmd,closed,PhilipPallmann,inst.rmd
260,29362168,Update data.rmd,closed,PhilipPallmann,data.rmd
259,29362092,Update namespace.rmd,closed,PhilipPallmann,namespace.rmd
258,29361719,Update tests.rmd,closed,PhilipPallmann,tests.rmd
257,29361603,Update man.rmd,closed,PhilipPallmann,man.rmd
