number,id,title,state,user,pr_files
626,24747421,mem_changed() should be mem_change(),closed,HenrikBengtsson,memory.rmd
624,24055265,Update C-interface.rmd,closed,HenrikBengtsson,C-interface.rmd
623,23737197,Update Introduction.rmd. My typo!,closed,michaelmikebuckley,Introduction.rmd
622,23726333,TYPO: asLogical() takes LGLSXP (was INTSXP),closed,HenrikBengtsson,C-interface.rmd
621,23657637,"Update Introduction.rmd. Added section labels - ""{#colophon}"" etc.",closed,michaelmikebuckley,Introduction.rmd
620,23128079,Update C-interface.rmd,closed,michaelmikebuckley,C-interface.rmd
619,23011541,Fixing a typo,closed,polmath,Functions.rmd
618,22889571,fixed typos,closed,perryjer1,Functionals.rmd
617,22816959,fix typos,closed,perryjer1,Exceptions-Debugging.rmd
616,22732573,Update OO-essentials.rmd,closed,perryjer1,OO-essentials.rmd
615,22686511,Update Expressions.rmd,closed,michaelmikebuckley,Expressions.rmd
614,22635445,Fix a missed Common Lisp to R substitution,closed,rzarev,beyond-exception-handling.rmd
611,22467869,"""assigning"" replaces ""assuming""",open,MichaelMBishop,Data-structures.rmd
610,22427563,Functions: Fix variable name in the first quiz question,closed,gokceneraslan,Functions.rmd
609,22149570,Update Subsetting.rmd,open,matthieugomez,Subsetting.rmd
608,21622315,Update Functionals.rmd,closed,michaelmikebuckley,Functionals.rmd
607,21592074,"Fix ""Evaluating..."" PDF link",closed,Welliton309,Performance.rmd
606,21222813,Missing negation.,closed,kasterma,S4.rmd
605,20886965,typo,closed,gr650,Introduction.rmd
604,20886494,typo?,closed,gr650,Data-structures.rmd
603,20882991,typo fixed,closed,gr650,Expressions.rmd
602,20671816,"""from a list"" instead of ""to a list""",closed,Ironholds,book/tex/Environments.tex
600,20478058,wording,open,isomorphisms,memory.rmd
599,20433379,"What's ""it""?",open,isomorphisms,memory.rmd
596,20276644,"Fix typos in ""Functional Programming""",closed,cubranic,Functional-programming.rmd
595,20273941,change label to match chapter title 'expressions',closed,rrunner,Computing-on-the-language.rmd
595,20273941,change label to match chapter title 'expressions',closed,rrunner,Expressions.rmd
595,20273941,change label to match chapter title 'expressions',closed,rrunner,Function-operators.rmd
595,20273941,change label to match chapter title 'expressions',closed,rrunner,Functions.rmd
595,20273941,change label to match chapter title 'expressions',closed,rrunner,book/tex/Computing-on-the-language.tex
595,20273941,change label to match chapter title 'expressions',closed,rrunner,book/tex/Expressions.tex
595,20273941,change label to match chapter title 'expressions',closed,rrunner,book/tex/Function-operators.tex
595,20273941,change label to match chapter title 'expressions',closed,rrunner,book/tex/Functions.tex
594,20224635,rename label #metaprogramming to #expressions to match title,closed,rrunner,Computing-on-the-language.rmd
594,20224635,rename label #metaprogramming to #expressions to match title,closed,rrunner,Expressions.rmd
594,20224635,rename label #metaprogramming to #expressions to match title,closed,rrunner,Function-operators.rmd
594,20224635,rename label #metaprogramming to #expressions to match title,closed,rrunner,Functions.rmd
593,20208585,Fixing sentence,open,Noshgul,Computing-on-the-language.rmd
592,20000934,Fixing a typo,open,grettke,Functional-programming.rmd
591,19867203,Small edit to Introduction.Rmd,closed,jdblischak,Introduction.rmd
590,19862889,Update Functions.rmd,open,zross,Functions.rmd
589,19682563,Update Environments.rmd,closed,stevencarlislewalker,Environments.rmd
588,19673311,Some unexpected behavior I tested in R,open,LaDilettante,Subsetting.rmd
587,19603449,Update Function-operators.rmd,closed,rrunner,Function-operators.rmd
586,19574187,Fixing Typos,closed,bklamer,C-interface.rmd
585,19570255,Fixing Typos,closed,bklamer,book/advanced-r.tex
584,19569783,Fixing Typos,closed,bklamer,extras/redirects.R
583,19569010,Update Expressions.rmd,closed,rrunner,Expressions.rmd
582,19568867,Dead link due to new URL for R packages book,closed,rrunner,Exceptions-Debugging.rmd
581,19562441,Update Environments.rmd,closed,rrunner,Environments.rmd
580,19347712,Update Subsetting.rmd,closed,rrunner,Subsetting.rmd
579,19346979,Update Subsetting.rmd,closed,rrunner,Subsetting.rmd
578,19346785,Update Subsetting.rmd,closed,rrunner,Subsetting.rmd
577,19225641,Update Documenting-functions.rmd,closed,rrunner,Documenting-functions.rmd
576,19216970,Update Documenting-functions.rmd,closed,rrunner,Documenting-functions.rmd
575,19215908,Update Documenting-packages.rmd,closed,rrunner,Documenting-packages.rmd
574,19214828,Update C-interface.rmd,closed,rrunner,C-interface.rmd
573,19214726,Update Rcpp.rmd,closed,rrunner,Rcpp.rmd
572,19175700,Fixed grammar mistake in Introduction.Rmd,closed,lianos,Introduction.rmd
571,18768597,May not return value in this else-if branch,closed,renkun-ken,Expressions.rmd
570,18753731,Update Data-structures.rmd,closed,patr1ckm,Data-structures.rmd
569,18753601,Update Data-structures.rmd,closed,patr1ckm,Data-structures.rmd
568,18620373,Update Function-operators.rmd,closed,rrunner,Function-operators.rmd
567,18592945,Update Functionals.rmd,closed,zross,Functionals.rmd
566,18425687,Update Data-structures.rmd,closed,svigneau,Data-structures.rmd
565,18418901,"fixed typo at line 730, from 'solve' to 'solving'",closed,sarunasmerkliopas,Environments.rmd
564,18322471,Update Functionals.rmd,closed,rrunner,Functionals.rmd
563,18310595,Update contribute.rmd,open,andrewpbray,contribute.rmd
562,18309862,Update Data-structures.rmd,closed,andrewpbray,Data-structures.rmd
561,18268331,Update Introduction.rmd,closed,cBournhonesque,Introduction.rmd
560,18258319,Fixed typo,closed,svigneau,Data-structures.rmd
559,18258253,Update Data-structures.rmd,closed,svigneau,Data-structures.rmd
558,18258214,Fixed typo,closed,svigneau,Data-structures.rmd
557,18251552,Update Data-structures.rmd,closed,svigneau,Data-structures.rmd
556,18247731,Clarified sentence,closed,svigneau,Data-structures.rmd
555,18246272,Fixed typo,closed,svigneau,Data-structures.rmd
554,18245695,Fixed typo,closed,svigneau,Data-structures.rmd
553,18235804,Fixed typo.,closed,svigneau,Data-structures.rmd
552,18168871,case sensitive,closed,ajdamico,Style.rmd
551,18168478,sorry if the omission was intentional,closed,ajdamico,_layouts/default.html
550,18080297,fix typos,closed,jennybc,Data-structures.rmd
549,18020442,Minor typos corrected in Data structures,closed,Robinlovelace,Data-structures.rmd
548,18013410,typo correction and a small improvement to Environments chapter,closed,jullybobble,Environments.rmd
547,17911004,Fixed typo.,closed,adletaw,Data-structures.rmd
546,17847978,Update Data-structures.rmd,closed,Lawrence-Liu,Data-structures.rmd
545,17682372,Update S4.rmd,open,setempler,S4.rmd
544,17622442,Update Environments.rmd,closed,joseph-rickert,Environments.rmd
543,17596097,vignettes should now be in vignettes/,closed,mikelove,Package-basics.rmd
542,17559690,fixing typos,closed,TobiasRockel,Data-structures.rmd
541,17556164,Minor Sentence Correction.,closed,nilesh-patil,Subsetting.rmd
540,17507556,Update Subsetting.rmd,closed,rdinter,Subsetting.rmd
539,17507191,Update Subsetting.rmd,closed,rdinter,Subsetting.rmd
538,17492473,Minor sentence correction.,closed,nilesh-patil,Subsetting.rmd
537,17484065,Update Data-structures.rmd,closed,Holzhauer,Data-structures.rmd
536,17340545,Update Documenting-functions.rmd,closed,alko989,Documenting-functions.rmd
535,17278342,Update Subsetting.rmd,closed,johnfrombluff,Subsetting.rmd
534,17194664,"Remove an extra ""for""",closed,jomuller,Namespaces.rmd
533,17155225,Small typo,closed,ncarchedi,Functionals.rmd
532,17116758,typo: lazinesss -> laziness,closed,contravariant,Function-operators.rmd
531,17077800,Update Computing-on-the-language.rmd,closed,zackthedecoder,Computing-on-the-language.rmd
530,16994242,Update Data-structures.rmd,closed,kasterma,Data-structures.rmd
529,16969358,Minor grammatical typo in memory.rmd,closed,clarkfitzg,memory.rmd
528,16843116,Small grammatical changes,closed,binarybana,Subsetting.rmd
